Customer_ID,Full_Name,Application_ID,Application_Date,Decision_Date,Credit_Product,Credit_Score,Risk_Grade,Credit_Limit,Decision_Status,Rejection_Reason,Approved_Amount,Decision_Channel,Underwriter,Credit_Policy,Comments,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST39518,Lindsay Skinner,APP906069,2024-11-11,2025-08-09,Business Loan,444,C,113760,Rejected,Low Credit Score,0,Branch Visit,Kathryn Joyce,Premium,Cell focus enter week necessary with measure whole remember.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST43545,Brandon Dennis,APP840317,2024-10-30,2025-09-22,Business Loan,349,E,973945,Approved,None,973945,Branch Visit,Laurie Martinez,High Risk,Phone trouble fact tonight game against from anything.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST30174,Randy Oconnor,APP746517,2025-04-02,2025-08-11,Personal Loan,580,C,982110,Rejected,None,0,Branch Visit,John Wade,Premium,Television we mission other know.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST89783,Sean Howell,APP671051,2025-07-29,2025-08-01,Auto Loan,465,E,89092,Rejected,Incomplete Documentation,0,Mobile App,Julie Matthews,High Risk,Thank group gun subject with message central rock teach.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST14023,Michael Craig,APP816890,2025-02-25,2025-07-01,Home Loan,377,C,184931,Pending Review,None,0,Branch Visit,Steven Walsh,Premium,Economy arm marriage full level plan husband full back where probably.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST90911,Megan Fleming,APP111859,2025-05-23,2025-07-13,Credit Card,404,C,867751,Rejected,Employment Instability,0,Mobile App,David Scott,Special Consideration,Together police election major way police character new situation.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST11758,Marilyn Hoffman,APP104860,2025-06-17,2025-07-11,Home Loan,614,E,977811,Pending Review,None,0,Branch Visit,Kevin Mendoza,Special Consideration,Recognize since be hear network eye health job window.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST34285,Matthew Walls,APP707499,2025-10-10,2025-10-15,Home Loan,493,C,778067,Rejected,High Debt-to-Income Ratio,0,Mobile App,Allison Gray,Standard,Dream write minute cost day knowledge page particular.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST29617,Charles Pitts,APP523171,2025-04-08,2025-09-03,Credit Card,580,B,565597,Pending Review,None,0,Agent Assisted,Susan Morales,Special Consideration,Character send present guess employee expect respond boy together laugh.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST19599,Kathleen Bowers,APP403401,2025-04-13,2025-05-21,Personal Loan,562,D,628393,Pending Review,None,0,Mobile App,Laurie Martinez,High Risk,Build station these head performance general line law need.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST50056,Michael Ayers,APP507251,2025-05-05,2025-06-27,Home Loan,750,E,663471,Approved,None,663471,Online Application,Heather Martin,Special Consideration,Himself white attack glass a lose.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST58733,April Smith,APP380829,2025-01-28,2025-04-12,Business Loan,643,D,58445,Pending Review,None,0,Agent Assisted,Carlos Allen,Premium,Fact nice marriage save happen car this budget.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST22453,Edwin Ramsey,APP193346,2025-04-07,2025-09-16,Credit Card,600,E,243994,Rejected,Employment Instability,0,Agent Assisted,Jessica Mclaughlin,High Risk,Present set culture purpose standard remember grow would no.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST26795,Victor Burns,APP561617,2025-04-24,2025-05-26,Credit Card,634,C,421593,Pending Review,None,0,Mobile App,Javier Wilson,High Risk,Remain tell walk away degree fact foot behind operation.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST40756,Paige Kelley,APP577446,2025-06-12,2025-06-24,Personal Loan,528,D,427844,Rejected,None,0,Online Application,Angela Gross,Premium,Subject child people chair recently push.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST68215,Sheila Palmer,APP991945,2025-07-15,2025-09-15,Business Loan,637,B,894985,Pending Review,None,0,Online Application,Zachary Cruz,Standard,Then scene reveal happy per recent make newspaper who become.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST30679,Cynthia Smith,APP719920,2025-06-20,2025-07-22,Auto Loan,762,C,789787,Rejected,Incomplete Documentation,0,Branch Visit,Jacob Santos,Standard,Floor because so compare black happy necessary.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST59339,Daniel House,APP101586,2025-07-07,2025-09-26,Home Loan,358,B,396133,Rejected,Incomplete Documentation,0,Branch Visit,Tanya Fritz,High Risk,Its concern catch place talk collection.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST16655,Jean Alexander,APP945585,2024-10-20,2025-05-20,Personal Loan,459,C,888685,Pending Review,None,0,Mobile App,Christian Jackson,Special Consideration,Effect begin book argue provide.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST37654,Emily Foster,APP308744,2025-08-30,2025-08-30,Personal Loan,639,B,709129,Rejected,Employment Instability,0,Agent Assisted,Yolanda Adams,Special Consideration,Major smile back dark executive parent similar tough small rise.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST78076,Kenneth Collins,APP448465,2025-02-04,2025-03-11,Auto Loan,635,B,879204,Rejected,None,0,Mobile App,Krista Barker,Special Consideration,Others she party find money.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST69976,Eric Burke,APP669498,2025-10-10,2025-10-12,Business Loan,770,A,539393,Pending Review,None,0,Mobile App,Lisa Conley,Special Consideration,Forget feel amount street worry view direction environment pick tend.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST92492,Christopher Ramirez,APP984843,2024-12-11,2025-09-26,Home Loan,638,E,676876,Approved,None,676876,Agent Assisted,Chase Bailey,Premium,What ability data section range soon every war free front believe.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST62017,John Wilson,APP105042,2024-10-18,2025-09-30,Business Loan,590,A,946973,Approved,None,946973,Branch Visit,Patrick Smith,Premium,Region with bill nation action cold.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST31307,Michael Hill,APP319118,2025-05-30,2025-09-03,Home Loan,565,C,790088,Approved,None,790088,Branch Visit,Debra Mccormick,Premium,Usually wall card poor toward.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST89428,Nathaniel Barry,APP497041,2025-02-26,2025-03-09,Home Loan,818,A,853909,Rejected,High Debt-to-Income Ratio,0,Mobile App,Kathryn Edwards,Standard,Agency suggest dog thing win consider sport than raise garden.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST86214,Victor Ramsey,APP249374,2025-03-21,2025-07-02,Credit Card,437,C,228843,Approved,None,228843,Branch Visit,George Hayes,Special Consideration,Teacher middle figure important environment assume relationship.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST50233,Carol Woods,APP610793,2024-11-28,2025-01-26,Personal Loan,788,A,330381,Pending Review,None,0,Agent Assisted,Ryan Yang,High Risk,Course tend worker player anything nation.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST29730,Linda Pierce,APP116188,2025-03-17,2025-04-02,Credit Card,300,C,236788,Pending Review,None,0,Online Application,Yolanda Adams,Special Consideration,People picture range economy him develop affect have federal movement.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST78860,Christopher Walter,APP231872,2025-01-02,2025-07-07,Business Loan,427,A,210838,Rejected,None,0,Mobile App,Jessica Mclaughlin,Premium,Hundred task plant gun coach police.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST54289,Amanda Moore,APP104871,2025-07-27,2025-09-13,Business Loan,848,C,341381,Approved,None,341381,Branch Visit,Yolanda Adams,High Risk,Kitchen bar pick start wrong information just.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST42888,James Osborn,APP421415,2024-12-18,2025-01-10,Credit Card,460,B,458612,Approved,None,458612,Mobile App,Donna Walker,Premium,Western bed other issue college well value.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST67768,Ronnie Frye,APP736959,2024-12-16,2025-06-14,Home Loan,405,C,484500,Pending Review,None,0,Mobile App,Kathryn Joyce,Standard,Be former blue arrive deep want office important person hot.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST37660,Scott Anderson,APP535116,2025-06-12,2025-10-03,Home Loan,710,E,667196,Rejected,Incomplete Documentation,0,Online Application,Kristin Young,Special Consideration,Anyone outside president line most.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST54467,Eric Mcfarland,APP434043,2024-10-31,2025-09-06,Business Loan,334,D,382598,Approved,None,382598,Branch Visit,James Kim,Standard,Skin modern catch old win.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST84563,Spencer Garcia DDS,APP649349,2025-05-18,2025-05-20,Personal Loan,625,A,630474,Approved,None,630474,Agent Assisted,Natalie Rosales,Special Consideration,Second senior beat pull dinner should thus.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST27580,David Wolf,APP634056,2025-07-09,2025-07-12,Personal Loan,493,E,939875,Rejected,Employment Instability,0,Mobile App,Javier Wilson,Premium,Cost guess time window small certainly company increase policy.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST85368,Kenneth Donovan,APP512640,2025-01-30,2025-04-06,Home Loan,612,D,504037,Pending Review,None,0,Agent Assisted,Kelly Harris,Standard,Source class off challenge weight particularly kid.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST23600,John Bell,APP488295,2025-05-04,2025-05-29,Business Loan,753,C,298946,Rejected,High Debt-to-Income Ratio,0,Agent Assisted,John Wade,High Risk,Site manager capital probably often opportunity agent everything.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST60049,Erin Walsh,APP101572,2025-03-31,2025-07-27,Auto Loan,864,B,371770,Approved,None,371770,Agent Assisted,Elizabeth Calderon,Premium,Leader enjoy finally call most plan north sound deal away else.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST50178,Ryan Young,APP641985,2025-06-06,2025-09-07,Auto Loan,744,B,60667,Rejected,Incomplete Documentation,0,Mobile App,Allison Gray,Premium,Firm wrong have magazine by that capital green special a change.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST69451,Andrea Lindsey,APP862959,2024-11-12,2025-01-08,Credit Card,438,A,942738,Rejected,Low Credit Score,0,Online Application,Laurie Martinez,Premium,Marriage would ago know tonight I quality ever perform director.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST24292,Dorothy Freeman,APP948081,2025-06-16,2025-08-14,Auto Loan,469,C,900986,Rejected,Low Credit Score,0,Mobile App,Angela Gross,Standard,Head true person arrive travel sport.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST28415,Kathryn Watson,APP507871,2024-10-30,2024-11-27,Home Loan,600,D,248169,Rejected,Incomplete Documentation,0,Online Application,Mark Alexander,High Risk,Important most wear hour establish measure inside.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST27651,Joel Morgan,APP189143,2025-08-28,2025-10-13,Business Loan,540,A,597583,Pending Review,None,0,Mobile App,Chase Bailey,Standard,Truth movie according issue out source.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST28511,Mrs. Kristi Turner DDS,APP946139,2025-07-15,2025-09-02,Personal Loan,583,B,410101,Rejected,None,0,Agent Assisted,Stephanie Watkins,Standard,Technology another first understand voice number.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST84066,Shannon Sheppard,APP657285,2025-08-04,2025-08-31,Home Loan,625,A,385717,Approved,None,385717,Online Application,Kelly Harris,Standard,Country institution hear half tend.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST35434,Brittney Williams,APP470291,2025-01-31,2025-07-20,Business Loan,724,C,669475,Rejected,None,0,Branch Visit,Kevin Mendoza,Special Consideration,Hear guess during risk action take.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST20075,Andrew Ellis,APP980810,2025-04-26,2025-07-06,Auto Loan,475,D,601505,Rejected,Incomplete Documentation,0,Online Application,Debra Mccormick,Special Consideration,Where bad maybe key save join determine focus step pattern.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST28150,Frances Bowen,APP702616,2025-09-15,2025-10-16,Personal Loan,873,B,934422,Pending Review,None,0,Branch Visit,Stephanie Watkins,High Risk,Late minute film receive difficult.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
CUST96045,Robert Phillips,APP897859,2025-05-01,2025-05-24,Home Loan,329,A,960498,Pending Review,None,0,Agent Assisted,Carlos Allen,Premium,Wide story new coach activity make.,Customer Credit Decision Results,Customer,Credit Decision,Customer Credit Evaluation
