Customer_ID,Customer_Name,Gender,Date_of_Birth,Age,Email,Phone_Number,Address_Type,Street_Address,City,State,Postal_Code,Country,Region,Ownership_Status,City_Tier,Address_Verification_Status,Last_Update_Channel,Last_Updated_Date,Primary_Address_Flag
CUST2000,James Hicks,Female,1975-11-21,50,michelle01@gmail.com,+1-492-541-8656,Mailing,572 Douglas Shore Apt. 740,North Laurenborough,Arkansas,64958,Kyrgyz Republic,North,Company Provided,Tier 2,Pending,Mobile App,2023-12-24,Yes
CUST2001,Tyler Huff,Female,1956-12-09,69,kathleenperry@hotmail.com,(802)545-3025,Office,38593 Rogers Streets Apt. 370,Johnland,New Hampshire,90842,Ireland,East,Company Provided,Tier 1,Verified,Call Center,2024-09-24,Yes
CUST2002,Brett Woods,Other,1957-10-14,68,dross@yahoo.com,589.918.8564x18561,Permanent,678 Jacobs Unions,Scottville,Tennessee,55166,Croatia,West,Leased,Tier 2,Rejected,Mobile App,2025-08-10,Yes
CUST2003,Terry Contreras,Male,1992-12-12,33,daniel10@gmail.com,+1-367-359-6454,Residential,69545 Jessica Glen,Maldonadoland,Nevada,06180,Bangladesh,East,Leased,Tier 2,Rejected,Branch Visit,2025-08-11,Yes
CUST2004,David Murray,Female,1990-09-11,35,mcintoshmichele@richard.org,+1-201-072-9234,Billing,39202 Jeffrey Corner Apt. 115,East Cindyborough,Alaska,74386,Micronesia,South,Company Provided,Tier 1,Verified,Online Portal,2024-09-08,No
CUST2005,Jamie Chen,Male,1996-10-11,29,yadams@martinez.com,+1-093-996-6886,Billing,3516 Carrie Gateway,New Elizabeth,Wyoming,96765,Malta,Central,Rented,Tier 1,Verified,Call Center,2024-05-23,Yes
CUST2006,Wyatt Tyler,Other,1989-07-15,36,mwoodward@williams.com,3406906879,Permanent,429 Christie Creek Suite 885,Charlesshire,Hawaii,30476,Uzbekistan,East,Company Provided,Tier 3,Rejected,Branch Visit,2025-04-04,Yes
CUST2007,Kevin King,Female,1981-05-04,44,bishopgregory@weeks-jensen.com,175.388.0964x497,Residential,138 Alex Route Suite 315,Lake Amandamouth,Nevada,16531,China,South,Owned,Tier 1,Pending,Call Center,2024-10-21,Yes
CUST2008,Jennifer Freeman,Male,1952-10-15,73,batesrichard@yahoo.com,192-523-9512x609,Permanent,13138 Morris Common Apt. 981,Port Williamfort,Ohio,03845,Malta,North,Rented,Tier 1,Rejected,Online Portal,2025-07-28,Yes
CUST2009,Wendy Miller,Other,1989-09-04,36,hayesjoseph@moore.info,464-453-9311x042,Office,45196 Rogers Ramp Apt. 373,East Tammy,Michigan,87917,Mongolia,East,Rented,Tier 3,Rejected,Mobile App,2023-12-10,Yes
CUST2010,Chad Jacobs,Female,2005-11-10,20,hdaugherty@werner.com,743.909.3666x81768,Office,43597 Jonathan Views,Mossside,Delaware,91814,Cambodia,North,Company Provided,Tier 3,Pending,Branch Visit,2025-08-08,No
CUST2011,Bradley Briggs,Male,1972-02-16,53,ikirk@buchanan-mcgrath.info,+1-955-445-5397x935,Permanent,3376 Werner Freeway Suite 422,New Brenda,Oklahoma,17174,Sweden,South,Leased,Tier 2,Pending,Branch Visit,2025-05-02,Yes
CUST2012,Nicole Gardner,Female,1992-12-13,33,robertschristopher@gmail.com,073.960.5671x72159,Office,9539 Irwin Summit,Shepherdfort,South Carolina,02549,Mali,West,Company Provided,Tier 3,Pending,Online Portal,2024-03-13,Yes
CUST2013,Ashley Cruz,Female,1974-08-11,51,cynthiawalker@hotmail.com,214-146-8690,Mailing,276 Cory Mountains Apt. 650,North Tracimouth,New Hampshire,83680,Bulgaria,West,Company Provided,Tier 1,Verified,Online Portal,2024-09-05,No
CUST2014,Michael Evans,Male,2004-01-04,21,gary77@hotmail.com,714.779.1306,Permanent,661 Cooper Ways Apt. 714,Lisaburgh,Maine,79900,Trinidad and Tobago,North,Owned,Tier 2,Pending,Mobile App,2024-01-06,No
CUST2015,Kristi Lucas,Other,2003-03-27,22,rleonard@yahoo.com,001-969-248-7401,Mailing,5659 Julie Gardens Suite 332,New Veronicaland,South Carolina,20248,Cuba,North,Company Provided,Tier 2,Rejected,Online Portal,2025-02-04,No
CUST2016,David Espinoza,Female,1993-08-27,32,kevin10@riley.org,988.617.4265,Office,0049 Jones Lodge Suite 004,Thomashaven,Oklahoma,64505,South Africa,South,Rented,Tier 2,Rejected,Branch Visit,2025-01-11,No
CUST2017,James Knapp,Female,1998-04-28,27,lawrencemiller@gmail.com,346.899.2673x11771,Residential,00006 Joseph Via,South Joe,New York,69011,Malta,North,Rented,Tier 2,Verified,Online Portal,2024-02-01,No
CUST2018,Bethany Charles,Female,1994-05-29,31,margaretchen@gates.org,181.907.3872x7944,Billing,91159 Kaylee Isle,East Aliciaport,South Dakota,33409,Portugal,West,Company Provided,Tier 2,Pending,Branch Visit,2024-04-30,Yes
CUST2019,John Stewart,Other,2006-07-22,19,scook@hotmail.com,835-887-0579,Residential,027 Julie Dam,Chloestad,Montana,44389,Lesotho,East,Leased,Tier 3,Rejected,Branch Visit,2024-07-30,No
CUST2020,Susan Henderson,Other,2003-05-09,22,madison96@yahoo.com,951.369.9661x05391,Mailing,5183 Davis Walk,West Stevenfort,Arkansas,49661,Morocco,East,Rented,Tier 1,Rejected,Online Portal,2025-09-28,No
CUST2021,Travis Hinton,Male,1950-12-27,75,eric23@yahoo.com,878-718-8401x17154,Permanent,9064 Sylvia Roads Suite 014,Leahside,New Hampshire,77379,Mexico,Central,Rented,Tier 3,Verified,Branch Visit,2023-11-04,Yes
CUST2022,Donald Smith,Other,1966-04-12,59,myersjeffrey@miller-mccoy.net,323-060-1430x174,Residential,91507 Kelly Wall,New Steven,Hawaii,15046,Gibraltar,West,Leased,Tier 2,Rejected,Online Portal,2025-01-12,No
CUST2023,Kevin Johnson,Male,1984-12-10,41,joseroberts@hotmail.com,048-858-0576x047,Residential,541 Young Gateway,Bankshaven,California,64135,Egypt,South,Company Provided,Tier 2,Pending,Branch Visit,2025-07-21,No
CUST2024,Kelly Thomas,Female,1977-05-25,48,robert31@meyer-rodgers.com,000-124-9013,Mailing,9781 Silva Mountains,New Emily,Wisconsin,37129,Congo,West,Leased,Tier 3,Verified,Online Portal,2025-04-20,No
CUST2025,Tom Mcfarland,Other,1973-11-01,52,kmccarty@hotmail.com,661.171.7297x3372,Billing,5060 Ward Rue Suite 212,South Daniel,Nebraska,55072,Hong Kong,South,Leased,Tier 3,Pending,Online Portal,2024-12-27,Yes
CUST2026,Sandra Durham,Female,1970-09-03,55,alexanderwilson@johnson-jordan.com,001-416-504-1290,Office,8405 Jessica Center,East Pamelaport,South Carolina,60527,Mexico,South,Owned,Tier 1,Rejected,Mobile App,2025-02-17,No
CUST2027,Shannon Rice,Male,1956-05-01,69,mlarson@yahoo.com,001-793-306-3944,Mailing,5420 Allison Passage,Knightfort,Pennsylvania,55241,Philippines,East,Company Provided,Tier 3,Pending,Online Portal,2023-11-22,No
