Customer_ID,Full_Name,Document_Type,Document_Number,Issue_Date,Expiry_Date,Issuing_Authority,Verification_Status,Risk_Level,Onboarding_Channel,KYC_Renewal_Date,Created_At,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST19841,Kimberly Bean,National ID,NAT737861,2022-01-23,2032-04-26,Income Tax Dept,Rejected,High,Online,2027-05-18,2021-10-22 12:33:55,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST13839,Debra Morris,PAN Card,PAN619488,2021-10-06,2035-04-24,Income Tax Dept,Rejected,High,Agent Assisted,2027-02-22,2023-03-04 23:32:18,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST61663,Ronald Stevens,Aadhaar Card,AAD681834,2023-05-19,2034-01-28,Regional Transport Office,Pending,Medium,Agent Assisted,2027-07-09,2021-12-04 00:13:03,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST41870,David Barrera,Employee ID,EMP346245,2019-10-14,2027-09-17,Regional Transport Office,Pending,High,Branch Visit,2026-03-05,2024-07-09 18:11:10,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST49365,Beth Thompson,Bank Statement,BAN675389,2017-09-06,2026-11-10,Regional Transport Office,Rejected,High,Online,2027-02-28,2021-04-24 05:45:14,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST24877,Sharon Peters,Voter ID,VOT595722,2017-10-16,2035-02-07,Regional Transport Office,Pending,High,Branch Visit,2026-01-10,2022-05-06 12:31:09,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST59603,Patrick Hayes,Passport,PAS141297,2023-06-09,2029-05-17,Govt of India,Pending,Low,Online,2027-03-08,2023-10-04 23:37:33,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST57122,Emily Mccarthy,PAN Card,PAN856656,2023-05-30,2033-12-26,Regional Transport Office,Pending,High,Branch Visit,2026-06-14,2023-06-17 09:49:54,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST12035,Brittany Morales,Aadhaar Card,AAD994653,2023-12-25,2025-12-16,Regional Transport Office,Pending,Medium,Agent Assisted,2026-11-16,2022-08-01 17:44:15,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST65385,Joseph Barnett,Driving License,DRI519119,2019-09-01,2032-06-20,UIDAI,Verified,Low,Agent Assisted,2027-06-10,2025-05-13 16:45:12,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST99357,Nathan Perry,National ID,NAT479483,2016-09-22,2032-08-11,Govt of India,Rejected,Low,Branch Visit,2026-05-07,2024-08-16 16:42:56,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST23844,Shannon Jordan,Aadhaar Card,AAD705583,2019-06-05,2032-09-03,UIDAI,Rejected,Low,Branch Visit,2026-04-13,2021-07-28 02:27:44,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST57315,Mitchell Mosley,Aadhaar Card,AAD363249,2021-08-19,2032-11-24,Regional Transport Office,Verified,High,Branch Visit,2027-01-17,2022-03-06 21:59:20,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST98459,Richard Hardin,Aadhaar Card,AAD559828,2021-04-19,2033-09-04,Govt of India,Rejected,Low,Online,2027-02-24,2023-01-02 13:51:08,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST81055,Jamie Wilson,PAN Card,PAN789899,2019-07-29,2032-05-19,UIDAI,Pending,Low,Online,2026-05-26,2025-01-15 12:19:22,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST20100,Hannah Warner,Bank Statement,BAN169379,2016-02-15,2027-02-10,Regional Transport Office,Verified,Low,Branch Visit,2027-07-31,2021-10-12 05:10:45,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST20136,Sharon Pope,Passport,PAS103488,2023-07-18,2028-06-11,Regional Transport Office,Verified,High,Branch Visit,2026-12-24,2025-08-03 14:50:02,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST86914,Craig Thompson,Aadhaar Card,AAD173506,2016-07-05,2031-10-04,Income Tax Dept,Pending,Low,Branch Visit,2027-09-04,2021-04-02 23:21:43,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST28945,Jeremy Moran,Employee ID,EMP781321,2018-09-21,2031-04-03,Election Commission,Pending,Low,Branch Visit,2025-11-03,2022-09-28 10:11:31,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST18978,Derrick Miranda,Voter ID,VOT165701,2024-03-30,2026-05-27,Govt of India,Rejected,Medium,Agent Assisted,2026-08-02,2022-03-06 10:02:07,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST79078,Michael Wilkins,Voter ID,VOT238621,2023-01-16,2028-05-04,Govt of India,Rejected,Low,Online,2026-04-05,2023-04-15 22:17:40,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST78471,Natalie Sanders,PAN Card,PAN879046,2023-09-02,2029-11-25,Election Commission,Rejected,Medium,Agent Assisted,2025-12-29,2024-06-28 06:18:28,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST18070,Jasmine Keller,PAN Card,PAN367528,2021-06-28,2028-06-30,Regional Transport Office,Verified,High,Agent Assisted,2025-12-04,2023-08-22 01:46:22,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST25620,Carlos Summers,Aadhaar Card,AAD313798,2017-07-16,2034-04-02,Govt of India,Verified,High,Branch Visit,2027-04-24,2022-01-30 02:30:32,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST77385,Vanessa Gordon,Bank Statement,BAN712071,2021-06-23,2033-12-01,UIDAI,Verified,Low,Agent Assisted,2026-03-24,2024-08-09 22:19:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST30600,Samantha Mckay,National ID,NAT584948,2018-01-29,2030-06-10,UIDAI,Verified,High,Agent Assisted,2026-02-10,2020-08-29 15:15:55,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST25382,Diamond Jones,Employee ID,EMP492488,2019-05-22,2026-03-26,Regional Transport Office,Pending,High,Branch Visit,2027-02-18,2020-01-01 09:59:55,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST24339,Jay Crawford,Employee ID,EMP208691,2016-04-12,2026-09-06,Election Commission,Verified,Low,Agent Assisted,2026-03-11,2024-02-04 08:56:53,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST86301,Aaron Dougherty,Voter ID,VOT435610,2019-03-24,2028-03-03,UIDAI,Pending,Low,Branch Visit,2025-12-01,2025-06-30 05:04:11,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST89826,Marcus Mcneil,Aadhaar Card,AAD799884,2022-05-18,2034-04-28,Election Commission,Rejected,Low,Online,2025-11-28,2020-03-11 17:59:08,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST63748,Keith Herrera,Passport,PAS350549,2017-06-22,2032-04-10,Govt of India,Rejected,Medium,Agent Assisted,2026-03-24,2020-05-18 22:14:06,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST57092,Jennifer Price,Driving License,DRI768304,2023-08-04,2026-02-16,Election Commission,Verified,High,Agent Assisted,2027-01-24,2025-09-13 19:28:35,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST61862,Seth Kaufman,Driving License,DRI719401,2016-06-16,2031-06-10,Income Tax Dept,Pending,Low,Online,2026-12-02,2022-02-20 07:24:20,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST26823,Todd Oconnor,Voter ID,VOT243158,2019-09-14,2032-02-17,Election Commission,Rejected,High,Branch Visit,2027-06-27,2021-01-15 09:17:40,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST54432,John Greene,Driving License,DRI527060,2021-10-25,2035-09-22,Regional Transport Office,Rejected,High,Branch Visit,2026-11-29,2024-06-27 05:33:02,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST90261,Jeffrey Harmon,Driving License,DRI347336,2016-08-05,2030-12-22,UIDAI,Verified,Medium,Agent Assisted,2025-11-18,2023-11-18 06:14:05,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST12957,William Eaton,Passport,PAS903240,2024-09-23,2032-05-30,Regional Transport Office,Pending,Low,Branch Visit,2026-08-15,2021-02-04 00:48:22,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST89593,Kayla Wise,Aadhaar Card,AAD517468,2019-11-30,2030-10-30,Regional Transport Office,Rejected,Medium,Online,2025-10-28,2023-11-26 19:42:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST50727,Mark Lewis,Driving License,DRI613465,2019-01-21,2031-10-08,Election Commission,Rejected,High,Agent Assisted,2025-12-31,2021-08-31 07:05:05,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST67902,Amber Ross,Driving License,DRI426674,2020-06-03,2028-05-18,Govt of India,Rejected,Medium,Branch Visit,2027-05-12,2020-01-07 14:20:36,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST10830,Christopher Odonnell,Bank Statement,BAN615988,2016-07-03,2030-09-29,Election Commission,Pending,Low,Branch Visit,2027-01-22,2023-11-18 08:39:45,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST96069,Philip Alexander,Bank Statement,BAN880745,2022-08-07,2033-12-09,UIDAI,Rejected,Medium,Branch Visit,2026-05-28,2021-09-24 19:31:39,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST27140,Julie Newton,Bank Statement,BAN516895,2016-12-04,2029-01-05,Govt of India,Pending,Low,Branch Visit,2026-12-13,2024-06-06 07:06:01,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST20479,Brent Blake MD,Aadhaar Card,AAD115044,2021-01-18,2031-02-11,Income Tax Dept,Verified,Medium,Online,2025-12-06,2024-09-18 06:07:03,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST29307,Steven Salas,National ID,NAT569789,2016-04-13,2034-03-02,Election Commission,Pending,Low,Branch Visit,2026-01-30,2021-06-28 10:04:24,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST26850,Michael Harris,Bank Statement,BAN210655,2017-11-24,2034-06-18,UIDAI,Pending,Medium,Online,2026-02-15,2024-05-13 16:55:43,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST61117,Louis Henson,PAN Card,PAN878727,2017-05-12,2032-05-21,Regional Transport Office,Rejected,Low,Agent Assisted,2027-01-01,2020-10-25 05:51:54,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST99324,Alicia Bonilla,National ID,NAT272734,2019-12-19,2028-09-30,Govt of India,Rejected,High,Branch Visit,2027-02-20,2024-09-25 07:46:21,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST33958,Julie Davis,Aadhaar Card,AAD237888,2016-10-26,2035-03-07,Govt of India,Rejected,Low,Online,2026-02-27,2022-02-23 23:57:37,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST74645,Mary Lewis,Employee ID,EMP680888,2016-10-15,2035-01-01,UIDAI,Pending,High,Agent Assisted,2026-10-06,2021-07-03 01:36:20,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST50766,Hunter Ingram,Employee ID,EMP539507,2022-09-29,2030-06-01,UIDAI,Verified,Medium,Branch Visit,2026-08-04,2020-09-25 07:50:44,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST85615,Laura Smith,Bank Statement,BAN110917,2019-04-18,2035-09-23,Regional Transport Office,Verified,Medium,Agent Assisted,2026-09-18,2020-08-15 02:05:23,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST43507,Jason Kelly,National ID,NAT670775,2023-07-26,2026-05-14,Regional Transport Office,Rejected,Low,Agent Assisted,2026-01-17,2021-07-16 06:54:48,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST93498,Kevin Alvarado,Aadhaar Card,AAD365344,2020-03-30,2028-09-26,Govt of India,Rejected,Low,Branch Visit,2026-12-04,2022-07-27 09:35:27,Customer Identification Management,Customer,Identification,Customer Identification Documents
CUST52366,Randall Evans,Bank Statement,BAN377705,2019-03-29,2031-08-30,UIDAI,Rejected,Low,Branch Visit,2027-09-17,2022-07-15 06:05:59,Customer Identification Management,Customer,Identification,Customer Identification Documents
