Customer_ID,Customer_Name,Gender,Date_of_Birth,Age,Email,Phone_Number,Onboarding_Date,Onboarding_Channel,KYC_Status,Region,Employment_Status,Industry,Job_Title,Employer_Name,Annual_Income_Bracket,Years_of_Experience,Verification_Status,Onboarding_Officer,Remarks
CUST3000,Melanie Hill,Male,1998-03-06,27,scraig@gmail.com,340.561.6574,2022-08-29,Mobile App,Rejected,West,Student,Manufacturing,Officer,Hogan Inc,>20L,23,Verified,Brittany Williams,Smooth onboarding
CUST3001,Emily Carlson,Female,1978-02-04,47,davisangela@yahoo.com,714.980.4680x4554,2023-04-13,Agent Assisted,Completed,Central,Self-Employed,IT,Executive,"Roberts, Carter and Moore",10L-20L,4,Verified,Emily Gray,KYC pending
CUST3002,Marco Weber,Male,1952-10-13,73,leslieevans@hayes.net,(620)270-8794x78386,2022-12-04,Branch Visit,Rejected,East,Retired,Finance,Consultant,Hunt Group,5L-10L,36,Failed,Cathy Hensley,Employment proof under review
CUST3003,Robert Gibson,Female,1997-08-23,28,desiree09@sparks.net,+1-691-548-1638x90790,2023-08-29,Branch Visit,Completed,Central,Self-Employed,Manufacturing,Engineer,Walton-Ramos,10L-20L,12,Failed,Cynthia Burns,KYC pending
CUST3004,Rachel Mckinney,Female,1962-11-01,63,elizabethjohnson@lewis.com,855.930.7507,2022-09-21,Agent Assisted,Rejected,South,Student,Education,Engineer,Richardson-Walters,10L-20L,13,In Progress,Brandi Caldwell,KYC pending
CUST3005,John Mcgee,Other,1998-12-15,27,erica81@gmail.com,747-315-4444x636,2021-03-12,Branch Visit,Completed,Central,Student,Retail,Teacher,Martinez Ltd,10L-20L,12,In Progress,Steven Pena,KYC pending
CUST3006,Kristi Smith,Female,1989-07-07,36,laurabailey@yahoo.com,+1-660-118-0911x717,2022-04-05,Mobile App,Pending,East,Retired,Education,Director,"Flores, Fisher and Bowman",5L-10L,28,Failed,David Clark,Employment proof under review
CUST3007,Latoya Conley,Male,1966-01-19,59,dennis38@aguilar.net,+1-368-544-0942x572,2023-02-14,Agent Assisted,Pending,South,Student,Finance,Teacher,Roach-Calderon,10L-20L,25,Failed,Brianna Ryan,Documents verified
CUST3008,Catherine Snyder,Male,1976-04-12,49,dfisher@yahoo.com,001-232-212-1005x82986,2022-12-03,Mobile App,Rejected,South,Unemployed,Retail,Executive,"Zimmerman, Juarez and Simmons",>20L,20,Verified,Sarah Henderson,Employment proof under review
CUST3009,Matthew Lee,Female,1972-11-03,53,brownmegan@hotmail.com,799.525.3013,2025-09-25,Online,Rejected,East,Self-Employed,Education,Consultant,Thomas-Garcia,10L-20L,25,Verified,Mario Rodriguez,Documents verified
CUST3010,Michael Moore,Other,1974-01-31,51,eshaw@hotmail.com,001-907-352-7551x8936,2021-10-21,Agent Assisted,Pending,South,Self-Employed,Manufacturing,Director,Nicholson-Davis,>20L,8,Verified,Abigail Moore,Follow-up required
CUST3011,Casey Brown,Male,2003-08-06,22,tara86@castro.com,+1-959-776-2789x0856,2021-11-29,Mobile App,Completed,Central,Student,Retail,Officer,"Wilson, Reeves and Patton",2L-5L,0,Failed,Candace Fisher,High potential customer
CUST3012,Molly Reyes,Male,1992-07-07,33,james50@yahoo.com,(440)222-0850x3173,2020-10-21,Mobile App,Pending,West,Employed,Government,Manager,"Gonzales, Barber and Foster",2L-5L,37,Failed,Arthur Miranda,Documents verified
CUST3013,Willie Ramirez,Male,1970-10-21,55,lbishop@yahoo.com,477-367-8034x517,2025-05-02,Mobile App,Completed,Central,Student,Education,Teacher,Davis Ltd,5L-10L,30,Verified,Vanessa Smith,Employment proof under review
CUST3014,Jason Johnson,Other,1986-03-05,39,ywright@gmail.com,654-378-5551x73049,2021-02-25,Online,Completed,West,Self-Employed,Education,Analyst,Dunlap Group,10L-20L,4,Verified,Rachel Thompson,Follow-up required
CUST3015,Dustin Cain,Male,1977-04-15,48,virginiaweber@gmail.com,665-346-6800x154,2022-04-04,Branch Visit,Completed,South,Student,Government,Director,Phillips-Vargas,<2L,11,Verified,Teresa Jones,Smooth onboarding
CUST3016,Lisa Harris,Male,1979-01-03,46,latoya60@hotmail.com,(386)296-5576,2022-02-06,Online,Pending,East,Employed,IT,Director,Whitaker PLC,<2L,2,In Progress,Brian Rollins,KYC pending
CUST3017,Mrs. Nicole Garcia DVM,Male,1950-07-11,75,xlarsen@gmail.com,+1-748-550-0668x7397,2021-12-05,Mobile App,Completed,Central,Self-Employed,Finance,Officer,"Chung, Nelson and Miller",2L-5L,13,Failed,Ms. Jennifer Carson,Follow-up required
CUST3018,Devin Dean,Female,1959-05-31,66,wrussell@yahoo.com,001-110-498-9585,2021-05-06,Agent Assisted,Pending,East,Employed,Education,Engineer,"Barnes, Moody and Mullins",5L-10L,15,In Progress,Christy Gonzales,Employment proof under review
CUST3019,Dr. James Morgan DDS,Male,1978-09-23,47,jonathangilbert@yahoo.com,+1-978-220-8782x3391,2022-08-17,Online,Rejected,East,Retired,Government,Executive,King-Thompson,10L-20L,12,Verified,Shannon Hull,High potential customer
CUST3020,James Hart,Other,1997-06-25,28,adam71@li-rose.com,037.626.6257,2023-07-26,Online,Rejected,Central,Employed,Manufacturing,Analyst,"Aguilar, Oliver and Salazar",2L-5L,18,Failed,Dustin Mason,High potential customer
CUST3021,Amber Clayton,Female,1983-11-04,42,wilcoxmaria@meyer.com,001-792-165-6041x690,2022-01-23,Agent Assisted,Completed,Central,Unemployed,Finance,Officer,Bray-Berger,>20L,11,Verified,Cristian Fuller,Follow-up required
CUST3022,James Crawford,Other,1987-09-10,38,aaron88@gmail.com,478.201.8509x7771,2025-02-27,Online,Pending,South,Unemployed,Manufacturing,Engineer,James Group,10L-20L,24,Verified,Cameron Edwards,High potential customer
CUST3023,April Reeves,Female,1970-04-17,55,hubbardadam@west.biz,841-840-5436x712,2022-01-01,Online,Completed,South,Retired,Education,Consultant,"Garcia, Hall and Pope",5L-10L,16,Verified,Michael White,Documents verified
CUST3024,Abigail Sanchez,Female,1984-06-13,41,zharris@stewart.com,+1-949-057-5886,2023-01-29,Agent Assisted,Pending,North,Employed,Education,Director,Zhang PLC,10L-20L,5,Verified,Margaret Mcguire DDS,Documents verified
CUST3025,William Marshall,Other,1963-12-03,62,bjackson@parker.com,+1-294-420-6192x766,2025-06-05,Branch Visit,Rejected,East,Unemployed,Retail,Consultant,"Ballard, Beasley and Johnson",<2L,29,Failed,Katrina Lowe,Smooth onboarding
CUST3026,Richard Paul,Male,1952-01-20,73,jacksonbuck@gmail.com,9733038041,2021-01-18,Mobile App,Pending,South,Self-Employed,Retail,Director,Hamilton and Sons,10L-20L,16,Failed,Todd Riley,Follow-up required
CUST3027,Bryan Robinson,Male,1984-12-12,41,walkerkerri@nelson-vaughn.com,+1-431-902-8813x0223,2025-01-10,Online,Pending,South,Employed,Retail,Officer,"Hill, Harrison and Hawkins",>20L,12,Failed,Rita Taylor,KYC pending
CUST3028,Brent Taylor,Other,1953-08-22,72,ramospeter@hotmail.com,382.815.2477x992,2024-03-02,Agent Assisted,Rejected,East,Employed,IT,Engineer,Rodriguez-Hines,2L-5L,4,In Progress,Carrie Carroll,High potential customer
CUST3029,Mark Jackson,Other,1994-04-20,31,ekirby@glenn.net,521.187.5572,2021-09-06,Agent Assisted,Pending,South,Employed,Healthcare,Executive,"Hernandez, Mcdonald and Montes",10L-20L,39,In Progress,Jennifer Jackson,Employment proof under review
CUST3030,Michael Wong,Male,1994-11-17,31,johnedwards@yahoo.com,199-932-5030,2023-02-20,Agent Assisted,Rejected,Central,Unemployed,IT,Officer,Strong-Spencer,5L-10L,23,Failed,Steven Snyder,Documents verified
CUST3031,Erika Middleton,Female,1997-03-21,28,gatesmark@hotmail.com,(796)531-0086x86088,2024-07-18,Mobile App,Pending,West,Retired,Manufacturing,Officer,Chandler-Berger,>20L,16,In Progress,James Fitzgerald,Employment proof under review
CUST3032,Yvonne Hill,Female,1994-08-14,31,qtaylor@yahoo.com,989.932.4086x32749,2024-11-12,Agent Assisted,Pending,North,Student,Healthcare,Manager,Grant-Duran,10L-20L,33,In Progress,Chad Cook,Follow-up required
CUST3033,William Bradley,Female,1951-07-25,74,patrickgutierrez@hotmail.com,146.451.7878x119,2023-03-25,Branch Visit,Rejected,West,Student,Manufacturing,Consultant,Fowler-Cunningham,2L-5L,27,Verified,James Grimes,Documents verified
CUST3034,Mark Mendez,Female,1969-06-05,56,stephaniewatkins@hotmail.com,(929)742-0055,2022-07-14,Online,Completed,West,Student,Education,Executive,Bell-Newton,2L-5L,30,Failed,Michael Reyes,Employment proof under review
CUST3035,Seth Stanley,Male,1960-07-29,65,bortiz@reid.com,860.727.2116,2023-04-05,Online,Pending,North,Self-Employed,Government,Executive,Pearson Group,10L-20L,3,Failed,Nicholas Johnson,High potential customer
CUST3036,Dr. Richard Nelson Jr.,Other,1981-04-09,44,barnettmiguel@clark.com,279-510-3582,2024-12-12,Agent Assisted,Completed,Central,Self-Employed,IT,Engineer,Murphy-Reese,<2L,28,Verified,Mark Rogers,KYC pending
CUST3037,Mary Baker,Other,1971-06-24,54,jsmith@gmail.com,001-893-361-4836x70989,2023-03-02,Online,Rejected,Central,Unemployed,Education,Teacher,Kim PLC,<2L,32,In Progress,Gina Roberts,Follow-up required
CUST3038,Hunter Brooks,Male,1960-04-11,65,qarmstrong@black.org,5616446270,2023-04-16,Branch Visit,Completed,Central,Student,Government,Consultant,Le-Smith,>20L,16,Failed,David Bentley,Employment proof under review
CUST3039,Judith Reeves,Other,2003-07-27,22,rachel08@edwards.com,001-850-759-8526x515,2025-03-14,Mobile App,Pending,South,Employed,Healthcare,Executive,"Adams, Gill and Neal",<2L,19,Verified,Jessica Simmons,Smooth onboarding
CUST3040,Matthew Coleman,Female,1965-01-26,60,monicabooth@hotmail.com,001-289-232-6408x3986,2023-02-24,Agent Assisted,Pending,North,Unemployed,Manufacturing,Executive,Tapia Group,10L-20L,12,In Progress,Casey Santos,Employment proof under review
CUST3041,Karina Smith,Other,2000-12-05,25,roger59@johnston.com,224.866.2826x0132,2024-10-20,Mobile App,Pending,East,Student,Healthcare,Consultant,Brown-Reed,5L-10L,10,In Progress,Mary Brown,KYC pending
CUST3042,Jose Arroyo,Female,2003-01-15,22,brianklein@knight.org,001-234-915-0735x75939,2021-05-05,Branch Visit,Rejected,West,Retired,Retail,Analyst,"Smith, Castro and Bradley",>20L,2,Verified,Ryan Hopkins,High potential customer
CUST3043,Amanda Griffin,Other,1976-03-10,49,toddhartman@yahoo.com,001-171-847-7566x03737,2024-02-02,Online,Pending,South,Employed,Finance,Engineer,Johnson-Johnson,10L-20L,34,Failed,Charles Collier,Documents verified
CUST3044,Karen Chan,Male,2000-11-01,25,wtrevino@williams.info,(993)023-4181,2025-06-04,Mobile App,Completed,North,Student,Education,Officer,Baldwin PLC,>20L,22,In Progress,Shannon Castillo,Follow-up required
CUST3045,Cassie Wang,Female,2001-10-15,24,garyallen@gmail.com,942-823-8410,2024-07-28,Branch Visit,Completed,East,Retired,Finance,Teacher,Torres and Sons,<2L,25,Verified,Lori Garza,High potential customer
CUST3046,John Jordan,Other,1978-02-14,47,thomasmelissa@lewis.net,001-478-761-5483x9549,2025-01-18,Branch Visit,Pending,South,Employed,IT,Executive,"Reed, Fitzgerald and Morris",2L-5L,21,Failed,Erin Skinner,Documents verified
CUST3047,Laura Hernandez,Male,1965-06-04,60,rhunter@welch.com,(638)381-2915x8463,2024-03-01,Mobile App,Pending,West,Student,IT,Executive,Contreras LLC,<2L,8,Failed,Sean Gillespie,Smooth onboarding
CUST3048,Patrick Walker,Other,2006-03-27,19,dale04@yahoo.com,(991)801-3423x26610,2020-10-21,Agent Assisted,Rejected,South,Self-Employed,Retail,Analyst,Hurst Ltd,>20L,36,Failed,Christine Webster,Follow-up required
CUST3049,Adam Frey,Female,2006-08-11,19,ymarshall@gmail.com,1478154693,2022-11-01,Agent Assisted,Pending,South,Student,Finance,Executive,"Peterson, Levine and Robbins",<2L,4,Failed,Jessica Williams,KYC pending
