Customer_ID,Full_Name,Email,Preferred_Communication_Mode,Preferred_Language,Notification_Preference,Product_Interest,Preferred_Contact_Day,Preferred_Contact_Time,Marketing_Consent,Channel_Preference,Relationship_Goal,Satisfaction_Rating,Created_Date,Last_Updated,Remarks,Business_Activity,Value_Domain,Data_Segment,Data_Domain
CUST76839,Sandra West,sarah28@example.org,Chatbot,Hindi,All Notifications,Savings Account,Anyday,Afternoon,Yes,Hybrid,Savings,4,2025-08-12,2025-10-10,Year but hour Republican try level after term.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST79732,Susan Ortiz,poolecindy@example.org,Branch Visit,English,None,Personal Loan,Weekends,Morning,Yes,Digital,Business Expansion,3,2025-09-16,2025-09-28,Such meet seem growth vote serve.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST15803,Gregory Robinson,reedjeff@example.org,Phone Call,Telugu,All Notifications,Savings Account,Weekdays,Evening,Yes,Digital,Investment,1,2024-11-30,2025-09-27,Off we rule work environment early expect this report ever phone.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST35166,Jennifer Cortez,don31@example.com,Phone Call,Telugu,All Notifications,Credit Card,Weekdays,Afternoon,Yes,Digital,Wealth Management,2,2025-01-12,2025-04-22,Executive improve race your major network tax would clearly technology fact partner.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST76533,Aaron Decker,maria08@example.net,Chatbot,English,No Promotions,Credit Card,Weekdays,Afternoon,No,Hybrid,Investment,4,2025-10-10,2025-10-15,Recognize final magazine economic less anything where indicate certainly information.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST16024,James Singh,marcus97@example.org,Chatbot,Hindi,All Notifications,Savings Account,Weekdays,Afternoon,Yes,Offline,Savings,1,2025-05-29,2025-08-01,Fly course focus local possible important it discover always myself.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST89299,Monique Lopez,deannanovak@example.org,Chatbot,Bengali,All Notifications,Investment Plan,Anyday,Morning,No,Digital,Savings,1,2025-05-08,2025-08-28,Administration service week memory born way.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST36525,Charles Simmons,sydneymcguire@example.org,SMS,Telugu,All Notifications,Savings Account,Weekdays,Morning,Yes,Digital,Savings,3,2024-11-14,2024-11-22,Open herself machine trip Democrat down old popular some pattern believe specific work.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST65101,Wendy Hall,coxpeggy@example.net,Branch Visit,Kannada,No Promotions,Insurance,Anyday,Afternoon,No,Digital,Investment,4,2024-11-26,2025-05-03,Serve seem into in out card perform minute design deal mission seat now traditional.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST35890,Stephanie Vasquez,kari85@example.com,Mobile App,Tamil,No Promotions,Insurance,Weekends,Evening,No,Offline,Wealth Management,2,2025-08-27,2025-09-09,Simple leave network draw daughter program goal health modern.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST77637,Sarah Calhoun,sonyawheeler@example.net,Email,Telugu,All Notifications,Savings Account,Anyday,Afternoon,Yes,Offline,Wealth Management,1,2025-03-14,2025-08-21,Change development food beautiful forget large crime while cover hope bill.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST32538,Stephanie Meyer,stevenramsey@example.org,Phone Call,Telugu,All Notifications,Credit Card,Anyday,Afternoon,Yes,Digital,Credit,1,2025-09-06,2025-10-16,Allow end firm leader central room baby treatment after I who special.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST90112,Amanda Pittman,alexis62@example.com,SMS,Hindi,No Promotions,Insurance,Anyday,Afternoon,Yes,Digital,Credit,4,2024-11-06,2025-05-13,Concern city above according occur TV type.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST39923,Brandi Dominguez,shawn99@example.org,Branch Visit,Telugu,Only Important,Credit Card,Weekdays,Morning,No,Digital,Investment,5,2024-12-25,2025-03-05,Wish marriage general build several art fear offer middle religious lay its building.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST33658,Kelly Diaz,mjohnston@example.org,Mobile App,Hindi,No Promotions,Insurance,Weekends,Afternoon,No,Offline,Investment,5,2025-03-25,2025-03-31,Thus wide sound through east sign.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST41709,Jamie Hamilton MD,pcarey@example.com,Mobile App,Kannada,No Promotions,Investment Plan,Weekdays,Afternoon,No,Digital,Wealth Management,2,2025-01-18,2025-07-15,Eight own power free simple Republican send worry standard serve.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
CUST37322,Jeff Fox,masonjames@example.net,Branch Visit,Hindi,No Promotions,Personal Loan,Weekends,Evening,No,Digital,Business Expansion,2,2024-12-20,2025-06-05,With range wind camera mind seat yard.,Customer Preferences Management,Customer,Customer Preferences,Customer Onboarding
