feedback_id,customer_id,customer_name,product_category,product_name,feedback_channel,feedback_date,feedback_type,feedback_score,comments,agent_id,response_time_hrs,region,value_domain,data_segment,data_domain
FDB100000,CUST13059,Diane Calderon,Fashion,FAS-557,Web Portal,2025-05-29,Suggestion,5,Central father remain new sea himself tough fight into unit save.,AGT234,12.89,East,Process,Customer Servicing,Product Feedback
FDB100001,CUST18876,Elizabeth Porter PhD,Sports,SPO-217,Social Media,2025-08-20,Suggestion,3,Federal dark professor according court management large those.,AGT241,8.49,West,Process,Customer Servicing,Product Feedback
FDB100002,CUST16845,Lorraine Willis,Furniture,FUR-342,Web Portal,2025-09-08,Positive,2,Of fear herself under not positive ground course must.,AGT531,6.32,Central,Process,Customer Servicing,Product Feedback
FDB100003,CUST12657,Kimberly Barber,Automobile,AUT-900,Web Portal,2025-05-11,Complaint,4,Decade peace skill other cold general account whom threat law doctor can center artist eye loss officer air.,AGT909,8.08,Central,Process,Customer Servicing,Product Feedback
FDB100004,CUST13296,Gary Bennett,Electronics,ELE-330,Social Media,2025-04-13,Suggestion,9,Despite part someone person product various.,AGT257,13.22,South,Process,Customer Servicing,Product Feedback
FDB100005,CUST19545,Robert Gordon,Automobile,AUT-204,Web Portal,2025-02-23,Neutral,8,Open particular amount similar leg for.,AGT510,18.56,South,Process,Customer Servicing,Product Feedback
FDB100006,CUST14218,Christopher Alexander,Furniture,FUR-237,In-Store Kiosk,2025-01-08,Neutral,3,Inside reach much both or upon child road different history lay.,AGT796,10.03,East,Process,Customer Servicing,Product Feedback
FDB100007,CUST15141,Susan Garza,Furniture,FUR-941,In-Store Kiosk,2025-07-02,Complaint,5,Manager attack week page sea probably trial.,AGT304,5.62,South,Process,Customer Servicing,Product Feedback
FDB100008,CUST11009,Darrell Howard,Fashion,FAS-647,Social Media,2025-06-24,Complaint,8,Prevent appear feel dream this car.,AGT667,10.38,East,Process,Customer Servicing,Product Feedback
FDB100009,CUST10794,Daniel Ramos,Appliances,APP-443,In-Store Kiosk,2025-06-15,Negative,8,Born will choice store face rather history easy grow nor important occur.,AGT188,40.18,North,Process,Customer Servicing,Product Feedback
FDB100010,CUST12878,William Cruz,Fashion,FAS-208,In-Store Kiosk,2024-11-13,Suggestion,5,Data rich project instead mouth American painting.,AGT403,1.34,West,Process,Customer Servicing,Product Feedback
FDB100011,CUST11281,Mark Ortiz,Electronics,ELE-936,Web Portal,2025-05-04,Positive,7,Long word economic town again far part.,AGT583,46.99,South,Process,Customer Servicing,Product Feedback
FDB100012,CUST10962,Timothy Cline,Furniture,FUR-765,Email,2025-07-28,Positive,5,Will exist thousand reality clear market information sing.,AGT743,27.82,North,Process,Customer Servicing,Product Feedback
FDB100013,CUST16940,Dr. Jessica Mathews,Sports,SPO-793,In-Store Kiosk,2025-04-30,Complaint,2,Pm society safe line low property us American baby improve.,AGT276,38.15,Central,Process,Customer Servicing,Product Feedback
FDB100014,CUST14755,Tracy Barry,Sports,SPO-830,Mobile App,2025-01-20,Negative,8,Since sit upon option know magazine condition.,AGT877,43.44,West,Process,Customer Servicing,Product Feedback
FDB100015,CUST18545,Dustin Nichols,Electronics,ELE-829,Mobile App,2025-10-14,Positive,7,Room commercial development difficult degree start positive always.,AGT692,42.28,South,Process,Customer Servicing,Product Feedback
FDB100016,CUST12926,David Glass,Appliances,APP-441,Mobile App,2025-01-08,Neutral,8,Moment which military it fish land middle gun hit shake blue purpose place.,AGT545,13.0,East,Process,Customer Servicing,Product Feedback
FDB100017,CUST15875,Paige Washington PhD,Healthcare,HEA-209,Web Portal,2025-06-11,Neutral,1,Impact think appear less send explain building water.,AGT960,19.21,West,Process,Customer Servicing,Product Feedback
FDB100018,CUST15907,Brooke Pham,Appliances,APP-116,Email,2025-08-02,Negative,5,Growth too into be voice.,AGT936,47.73,Central,Process,Customer Servicing,Product Feedback
FDB100019,CUST13557,Nicholas Conner,Sports,SPO-185,Email,2025-09-17,Neutral,10,Vote factor sea himself local once world over hit nothing star red speech.,AGT693,21.25,East,Process,Customer Servicing,Product Feedback
FDB100020,CUST10180,Tiffany Jimenez,Appliances,APP-785,Web Portal,2025-07-21,Neutral,3,West military near art enjoy require situation peace break sing yeah.,AGT636,11.58,North,Process,Customer Servicing,Product Feedback
FDB100021,CUST10440,Cheryl Thompson,Sports,SPO-254,Email,2025-05-08,Neutral,3,Cut eight late here ability keep not order.,AGT863,21.61,South,Process,Customer Servicing,Product Feedback
FDB100022,CUST12295,Tyler Wilson,Appliances,APP-260,In-Store Kiosk,2024-11-10,Negative,8,Paper dinner information evidence family store action note million point someone mention choose issue.,AGT776,21.23,Central,Process,Customer Servicing,Product Feedback
FDB100023,CUST18861,Christopher Johnson,Healthcare,HEA-933,In-Store Kiosk,2024-11-09,Positive,2,Ready short face southern school field world fire up sign analysis receive market.,AGT926,19.71,North,Process,Customer Servicing,Product Feedback
FDB100024,CUST11969,Bryan Garcia,Fashion,FAS-410,Mobile App,2025-04-05,Neutral,10,Affect edge however town start.,AGT297,44.42,East,Process,Customer Servicing,Product Feedback
FDB100025,CUST10897,Jose Grimes,Fashion,FAS-566,Email,2025-10-07,Complaint,4,Current wall PM edge morning interest method subject trial guess place.,AGT922,17.71,South,Process,Customer Servicing,Product Feedback
FDB100026,CUST11699,Rickey Randolph,Fashion,FAS-842,Mobile App,2025-03-14,Neutral,1,Gas then simple entire billion cost me personal policy.,AGT230,19.56,South,Process,Customer Servicing,Product Feedback
FDB100027,CUST15624,Eric Aguilar,Sports,SPO-807,Web Portal,2025-01-25,Neutral,5,Forget option strategy late until.,AGT819,22.54,Central,Process,Customer Servicing,Product Feedback
