Employee_ID,Employee_Name,Department,Job_Role,Grievance_Type,Grievance_Date,Grievance_Status,Feedback_Type,HR_Action_Taken,Resolution_Date,Notes,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0001,Employee_1,Operations,Analyst,Policy Violation,2025-04-01,Escalated,Negative,None,2025-04-05 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0002,Employee_2,Sales,Assistant,Workplace Conflict,2025-07-11,Open,Negative,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0003,Employee_3,HR,Analyst,Policy Violation,2025-04-17,In Progress,Neutral,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0004,Employee_4,Operations,Executive,Harassment,2025-08-03,Escalated,Positive,Counseling,2025-08-17 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0005,Employee_5,HR,Executive,Compensation Dispute,2025-02-16,Open,Positive,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0006,Employee_6,HR,Engineer,Compensation Dispute,2025-04-13,Escalated,Negative,Warning,2025-05-09 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0007,Employee_7,Marketing,Consultant,Harassment,2024-12-26,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0008,Employee_8,Marketing,Executive,Compensation Dispute,2025-09-09,Open,Positive,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0009,Employee_9,Sales,Analyst,Other,2025-09-03,Escalated,Neutral,None,2025-09-27 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0010,Employee_10,Finance,Executive,Workplace Conflict,2025-04-04,Escalated,Positive,Training,2025-04-25 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0011,Employee_11,Sales,Consultant,Other,2025-08-26,Escalated,Neutral,None,2025-09-18 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0012,Employee_12,Marketing,Analyst,Compensation Dispute,2025-10-04,In Progress,Neutral,Mediation,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0013,Employee_13,IT,Consultant,Other,2024-12-28,In Progress,Neutral,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0014,Employee_14,Marketing,Assistant,Workplace Conflict,2025-04-07,Resolved,Negative,Mediation,2025-04-14 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0015,Employee_15,HR,Analyst,Workplace Conflict,2025-04-01,Escalated,Neutral,None,2025-04-06 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0016,Employee_16,HR,Executive,Policy Violation,2025-09-12,Open,Positive,Training,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0017,Employee_17,Finance,Analyst,Other,2025-05-27,Open,Negative,Warning,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0018,Employee_18,Operations,Engineer,Other,2025-03-11,Resolved,Negative,None,2025-03-14 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0019,Employee_19,HR,Assistant,Compensation Dispute,2025-07-06,In Progress,Negative,Counseling,,,Workforce,Employee Relations,Employee Administration,Employee Relations
EMP0020,Employee_20,Marketing,Assistant,Other,2025-07-18,Escalated,Negative,None,2025-07-19 00:00:00,,Workforce,Employee Relations,Employee Administration,Employee Relations
