Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,4c0afafc-ce37-4f68-9717-9f11630c3ce5,Operations,EMEA,58.55,Non-Compliant,Heather Banks,2025-04-05,5
Risk Management,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Control Data,Review Findings,3ee9a6c4-a814-49d7-a8b2-c42357201051,Operations,APAC,83.22,Escalated,Julie Sandoval,2025-09-27,2
Operational Risk,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,64ff5c74-5f46-4ea8-95da-1222d15ba942,Finance,EMEA,54.76,Compliant,Trevor Williams,2025-04-13,6
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,7c297cc2-f357-44d0-98b6-53a454a0e4b2,Compliance,EMEA,76.74,Non-Compliant,Joanna Johnson,2025-07-06,0
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Assess Controls,f85f32f6-701f-4b55-8002-3b96ec185b22,Finance,EMEA,97.01,Escalated,Amy Kennedy,2025-01-16,5
Financial Control,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,2e46f0cd-e528-42ed-b1ac-1255c258f704,Operations,Americas,55.5,Non-Compliant,Jillian Wright,2025-04-03,6
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,b7e359b0-4076-4086-ab56-ab53c4d958a2,Compliance,Americas,97.3,Compliant,Daniel Schmidt,2025-07-26,9
Operational Risk,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Review Findings,50296c16-6a8c-4f74-ac3b-dd76a2ef4e2f,Finance,EMEA,54.21,Escalated,Carrie Oconnell,2025-03-20,4
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Assess Controls,9b5361bd-dbba-4736-92f9-6ca6b090cc1e,IT,Americas,71.07,Non-Compliant,Jessica Fry,2025-09-28,10
Financial Control,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Enforce Segregation of Duties,172577e5-4594-4c21-b816-d3b0a8d06a90,Compliance,EMEA,87.22,Pending Review,Adrienne Parsons,2025-07-05,8
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,4cc2abdd-e3fc-46d0-90cc-e0dec628e25f,Finance,APAC,98.48,Escalated,Philip Jones,2025-09-23,1
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Review Findings,c39a2298-069a-4aff-ac6e-456a992b6106,HR,APAC,89.95,Compliant,Kenneth Sanford,2025-03-30,7
Risk Management,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Security Value,Control Data,Review Findings,6f8e70b2-49d5-46b9-8180-26bd346cf3cd,HR,EMEA,84.46,Escalated,Stephanie Navarro,2025-08-29,0
