Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Department,Region,Report Status,Submission Date,Reviewer Name,Compliance Score,Remarks
Risk Management,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,47487e27-13ce-4d56-9864-f64538b43124,Legal,APAC,Approved,2025-10-10,Mr. Anthony Foster DDS,82.38,Suddenly country possible out he most.
Regulatory Oversight,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Review Compliance Reports,3fb70b18-07dd-4e4e-9c40-4ea0e30413c8,Finance,APAC,In Review,2025-08-25,Laura Burns,71.44,Law could when fall may interview.
Operational Risk,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Transparency,Audit Data,Review Compliance Reports,970458f9-b318-4009-b2e5-58b45fd68864,Finance,Americas,Rejected,2025-09-20,Joshua Evans,99.47,Reason above open inside trial truth position foreign.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Transparency,Audit Data,Review Compliance Reports,9e9f4e3d-58cb-4bde-981f-b738fa1eceed,Legal,APAC,Approved,2025-01-10,Gregory Torres,83.99,Strong hour discuss expect to.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Audit Data,Validate Submissions,07a23e06-fe56-4126-b67e-41666cc237cc,Compliance,APAC,Pending,2025-01-30,Michael Brown,74.51,Local let police meeting.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Prepare Regulatory Reports,Governance,Audit Data,Validate Submissions,dfa03a2c-90a2-4b8c-b736-3bfae12f4508,Operations,Americas,Pending,2025-04-30,Rick Estes,87.28,Special room foreign once word report whole our.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Governance,Audit Data,Review Compliance Reports,f45ada9a-fb4d-45b5-a71e-454c4ef049ea,Legal,APAC,In Review,2025-05-02,Elaine Woods,83.26,Head just big unit television spring.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Compliance,Regulatory Data,Validate Submissions,a7928460-91ef-4ce3-acce-bff86d50e93d,Operations,APAC,Rejected,2025-07-23,Elizabeth Burnett,80.63,Himself including protect.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Review Compliance Reports,29f416b3-d8a0-4339-abf1-e5e43ff70532,Finance,EMEA,Rejected,2025-06-25,Dr. Tracey Burke,72.38,Large study against cut.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Validate Submissions,5e471a08-40cd-494a-82b2-b6bea9d7a6ab,Operations,APAC,Pending,2025-02-25,Lori Nicholson,75.89,Task beat democratic understand.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Governance,Regulatory Data,Review Compliance Reports,137082d1-a6fb-440c-a300-04ece620808e,Legal,EMEA,Rejected,2025-01-15,Samuel Byrd,73.92,Leave quite above beat.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Transparency,Audit Data,Review Compliance Reports,dd02447e-afdf-41ca-b133-20ebb019b6e1,Compliance,EMEA,Approved,2025-01-18,Paul Henderson,75.0,Book month way medical push kitchen.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Compliance Data,Review Compliance Reports,e4483834-b243-4848-ba77-aab2e9be451d,Compliance,Americas,Submitted,2025-06-20,Suzanne Brown,73.58,Suffer hour easy ago anyone necessary.
Risk Management,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Compliance,Regulatory Data,Validate Submissions,14f5291e-ee7f-481b-8dff-53c0ab68994f,Legal,EMEA,Submitted,2025-07-04,Jorge Stephens,94.55,Order grow professor over media far important military.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Validate Submissions,a6ba65e9-4cec-4624-82a9-e0aa050688db,Operations,Americas,Pending,2025-08-13,Christopher Choi,93.26,Movie address health time prove language among.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Governance,Regulatory Data,Review Compliance Reports,d13cd7f1-98a9-4ea3-a9f2-b1f98c25b66f,Compliance,EMEA,Pending,2025-10-14,Stephanie Smith,93.83,Again investment reason white might threat though.
Regulatory Oversight,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Transparency,Compliance Data,Prepare Regulatory Reports,3dff85b4-592d-4fb4-9738-442eefce57c5,Finance,Americas,Pending,2025-04-04,Joseph Riley,99.51,There professor return travel myself something.
Regulatory Oversight,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Governance,Regulatory Data,Review Compliance Reports,cb2fbecc-bfaa-4c3e-970d-3b86c95adad0,Legal,APAC,Pending,2025-08-29,David Kelly,99.74,Man try including modern size degree standard.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Prepare Regulatory Reports,958d3ab5-6699-4c08-bac0-4f26902a7952,Finance,EMEA,Approved,2025-09-11,Amy Shaw,73.87,Project market perform reason society.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Review Compliance Reports,46aaa140-1199-46cc-b754-1c7c76a5f106,Finance,APAC,Rejected,2025-04-05,Todd Russell,82.18,Address spend skin including.
