Employee_ID,Employee_Name,Department,Job_Role,Training_Program,Training_Start_Date,Training_End_Date,Training_Status,Training_Mode,Training_Hours,Training_Score,Certification_Received,Feedback_Rating,Feedback_Comments,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0001,Employee_1,Finance,Analyst,Technical Upskilling,2025-09-09,2025-10-05,In Progress,Hybrid,40,59.5,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0002,Employee_2,Operations,Engineer,Project Management,2025-09-27,2025-10-05,Not Started,Classroom,3,70.71,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0003,Employee_3,IT,Manager,Leadership Training,2025-10-01,2025-10-02,Not Started,Online,34,72.32,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0004,Employee_4,Marketing,Manager,Soft Skills Workshop,2025-09-02,2025-09-04,Not Started,Online,19,57.06,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0005,Employee_5,Sales,Manager,Soft Skills Workshop,2025-08-06,2025-08-23,In Progress,Hybrid,38,69.31,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0006,Employee_6,IT,Executive,Data Science Certification,2025-05-06,2025-05-19,Not Started,Online,32,94.65,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0007,Employee_7,IT,Engineer,Leadership Training,2025-06-24,2025-07-13,Not Started,Hybrid,6,52.29,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0008,Employee_8,Operations,Assistant,Leadership Training,2025-07-26,2025-08-01,Not Started,Online,30,91.88,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0009,Employee_9,HR,Engineer,Technical Upskilling,2025-10-12,2025-10-19,In Progress,Hybrid,28,91.05,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0010,Employee_10,Finance,Manager,Leadership Training,2025-08-25,2025-09-07,In Progress,Classroom,25,99.67,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0011,Employee_11,Finance,Analyst,Technical Upskilling,2025-06-30,2025-07-16,In Progress,Online,18,63.79,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0012,Employee_12,Sales,Assistant,Soft Skills Workshop,2025-06-23,2025-07-07,Completed,Online,13,62.44,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0013,Employee_13,Marketing,Executive,Technical Upskilling,2025-05-02,2025-05-15,Completed,Hybrid,33,94.28,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0014,Employee_14,Finance,Analyst,Leadership Training,2025-09-09,2025-10-08,Not Started,Online,7,50.89,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0015,Employee_15,Sales,Executive,Project Management,2025-05-17,2025-05-23,Completed,Classroom,8,97.4,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0016,Employee_16,Marketing,Manager,Soft Skills Workshop,2025-06-04,2025-06-07,Not Started,Online,37,57.53,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0017,Employee_17,Finance,Engineer,Project Management,2025-06-30,2025-07-19,In Progress,Hybrid,19,96.82,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0018,Employee_18,IT,Executive,Compliance Training,2025-05-26,2025-06-09,In Progress,Classroom,17,82.61,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0019,Employee_19,Finance,Consultant,Compliance Training,2025-06-11,2025-06-24,Not Started,Hybrid,16,55.47,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0020,Employee_20,Finance,Analyst,Technical Upskilling,2025-09-14,2025-10-11,Not Started,Classroom,2,82.86,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0021,Employee_21,Finance,Assistant,Project Management,2025-09-02,2025-09-29,Completed,Online,9,63.23,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0022,Employee_22,IT,Manager,Project Management,2025-06-21,2025-07-09,Completed,Hybrid,35,78.97,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0023,Employee_23,Sales,Consultant,Project Management,2025-04-28,2025-05-15,Not Started,Hybrid,16,90.12,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0024,Employee_24,IT,Consultant,Data Science Certification,2025-10-07,2025-10-18,Not Started,Hybrid,38,95.1,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0025,Employee_25,Finance,Manager,Soft Skills Workshop,2025-07-23,2025-07-27,Not Started,Hybrid,27,56.34,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0026,Employee_26,Finance,Consultant,Project Management,2025-10-07,2025-10-27,In Progress,Classroom,32,95.16,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0027,Employee_27,Finance,Manager,Data Science Certification,2025-09-09,2025-09-11,Completed,Online,23,85.16,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0028,Employee_28,Sales,Consultant,Soft Skills Workshop,2025-06-03,2025-06-26,Completed,Hybrid,12,77.68,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0029,Employee_29,Operations,Assistant,Data Science Certification,2025-06-29,2025-07-04,In Progress,Classroom,30,86.5,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0030,Employee_30,IT,Executive,Leadership Training,2025-05-22,2025-06-17,In Progress,Online,8,97.01,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0031,Employee_31,HR,Executive,Data Science Certification,2025-08-15,2025-09-13,In Progress,Online,24,56.63,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0032,Employee_32,IT,Analyst,Project Management,2025-07-01,2025-07-31,In Progress,Online,20,95.01,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0033,Employee_33,Finance,Consultant,Leadership Training,2025-08-11,2025-08-14,Not Started,Online,28,84.24,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0034,Employee_34,HR,Manager,Soft Skills Workshop,2025-07-19,2025-07-26,Not Started,Classroom,38,93.05,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0035,Employee_35,HR,Consultant,Leadership Training,2025-05-06,2025-05-28,Not Started,Hybrid,17,75.17,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0036,Employee_36,HR,Manager,Technical Upskilling,2025-09-20,2025-10-03,Not Started,Hybrid,23,78.36,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
